user_location,user_lat,user_lon,strategy,energy_wh,carbon_kg,carbon_g,avg_latency_ms,total_heat_kwh,heat_cv,peak_uhi,total_uhi
"São Paulo, Brazil",-23.5505,-46.6333,Energy-Only,375.660075,0.0720422085,72.0422085,135.38351504225332,0.45704207625000004,0.07673422106299067,0.00016879812749999998,0.00030957229405256185
"São Paulo, Brazil",-23.5505,-46.6333,UHI-Aware,375.667845,0.0701734941,70.1734941,135.6312841457193,0.45665181075000005,0.14005544982440607,0.00014727804749999998,0.0002965800430380411
"São Paulo, Brazil",-23.5505,-46.6333,Multi-Objective,377.91894,0.0762605982,76.2605982,134.99270414420016,0.46260308400000005,0.03149206824013152,0.000178885665,0.00031901965805681317
Singapore,1.3521,103.8198,Random,379.04212500000006,0.07744984499999999,77.449845,155.16413785392564,0.46517075625000004,0.1082458840496382,0.000173505645,0.0003174353634014742
Singapore,1.3521,103.8198,Energy-Only,375.660075,0.0720422085,72.0422085,152.36488682415853,0.45704207625000004,0.07673422106299067,0.00016879812749999998,0.00030957229405256185
Singapore,1.3521,103.8198,UHI-Aware,375.667845,0.0701734941,70.1734941,152.7425630939091,0.45665181075000005,0.14005544982440607,0.00014727804749999998,0.0002965800430380411
Singapore,1.3521,103.8198,Multi-Objective,374.860455,0.06986206739999999,69.86206739999999,151.88427946382035,0.45492420675,0.10831047512608952,0.000157365585,0.0003014775106102308
"Dubai, UAE",25.2048,55.2708,Random,370.06644,0.06765656069999999,67.6565607,113.20611170802556,0.44458879650000005,0.541911026577097,0.00021318329249999995,0.00032809241434228687
"Dubai, UAE",25.2048,55.2708,Energy-Only,375.660075,0.0720422085,72.0422085,125.72670936804708,0.45704207625000004,0.07673422106299067,0.00016879812749999998,0.00030957229405256185
"Dubai, UAE",25.2048,55.2708,UHI-Aware,375.667845,0.0701734941,70.1734941,127.10076595415455,0.45665181075000005,0.14005544982440607,0.00014727804749999998,0.0002965800430380411
"Dubai, UAE",25.2048,55.2708,Multi-Objective,372.83565,0.0661069695,66.1069695,121.96724889486384,0.449945115,0.17293370795983518,0.0001486230525,0.0002931901954169887
