volume,strategy,energy_wh,carbon_kg,carbon_g,avg_latency_ms,total_heat_kwh,heat_cv,peak_uhi,total_uhi
100,Random,39.540555,0.0113492454,11.3492454,71.46341956559908,0.050664741750000006,0.5205369745868081,3.0935114999999996e-05,4.2380277790001096e-05
100,Energy-Only,37.540575000000004,0.007160773499999999,7.1607734999999995,85.83855010362771,0.04564247625000001,0.08551136244284453,1.6812562499999996e-05,3.08788542941144e-05
100,UHI-Aware,37.48434,0.0068426727,6.8426727,85.84069555688448,0.04545771150000001,0.15827999606385135,1.41225525e-05,2.9169936789835467e-05
100,Multi-Objective,37.866165,0.007759283699999999,7.759283699999998,83.26907514753918,0.04644196275000001,0.05026575530874359,1.8157567499999998e-05,3.217472090906581e-05
500,Random,191.7231,0.044151992999999994,44.15199299999999,79.93270324694538,0.23829231,0.17365584681081334,0.00011163541499999998,0.00017702082076275394
500,Energy-Only,187.79440499999998,0.0359390859,35.9390859,85.67915004518761,0.22842995175000003,0.07912723849870582,8.406281249999999e-05,0.00015453008927451413
500,UHI-Aware,187.79829,0.0350047287,35.0047287,85.28550319626464,0.22823481900000003,0.14217828724723383,7.33027725e-05,0.00014803396376725377
500,Multi-Objective,189.75318,0.0396553929,39.6553929,82.64154445017707,0.23326486050000006,0.0690355048463688,9.34778475e-05,0.00016312579326537656
1000,Random,395.58978,0.1266321909,126.6321909,74.52191591735175,0.5098826205,0.8871340498903812,0.0004566291975,0.0005130707732096123
1000,Energy-Only,375.660075,0.0720422085,72.0422085,85.6295295518222,0.45704207625000004,0.07673422106299067,0.00016879812749999998,0.00030957229405256185
1000,UHI-Aware,375.667845,0.0701734941,70.1734941,85.23591014562356,0.45665181075000005,0.14005544982440607,0.00014727804749999998,0.0002965800430380411
1000,Multi-Objective,379.62339,0.0795424317,79.5424317,82.55345129992969,0.466820679,0.07232301714937268,0.00018762819749999998,0.0003268316109362577
5000,Random,1824.894855,0.23924508690000001,239.24508690000002,93.31083236694164,2.1491178592500004,0.47301860992105493,0.0004800382804240283,0.0011776555068302784
5000,Energy-Only,1878.72273,0.3610700168999999,361.0700168999999,85.56595906694616,2.286265428,0.07390285691133032,0.0008466806474999998,0.0015501136589828564
5000,UHI-Aware,1878.522285,0.35113790730000005,351.13790730000005,85.20438456449173,2.2836941947500002,0.140559267606439,0.0007363902375,0.0014831718507980897
5000,Multi-Objective,1898.3255100000001,0.3980790228,398.0790228,82.5202048134056,2.3346119235,0.07388301356373106,0.00093881349,0.0016348738968907355
10000,Random,3925.027905,1.1857575909,1185.7575909,76.16971190453653,5.017847301750001,0.774102378078561,0.0041661529874999995,0.00484311205079036
10000,Energy-Only,3757.5624900000003,0.7223716796999999,722.3716797,85.55701922249361,4.572821814000001,0.07351098162037062,0.0016940337975,0.0031008073423712183
10000,UHI-Aware,3757.1616000000004,0.7025074605,702.5074605,85.19548647291614,4.5676793475,0.14041463372658647,0.0014734529775,0.0029669237260016843
10000,Multi-Objective,3796.6510200000002,0.7961580456,796.1580456,82.5202048134056,4.669223847,0.07388301356373106,0.00187762698,0.003269747793781471
50000,Random,19633.454309999997,5.1409905618,5140.9905618,72.48850057958784,24.9350715285,0.5251504827148383,0.011673298394999998,0.01869438321988847
50000,Energy-Only,18788.000745,3.6122540810999997,3612.2540811,85.55423936326633,22.86458220075,0.07338484231676272,0.008471513992499999,0.015505128851765127
50000,UHI-Aware,18785.950530000002,3.5128653758999997,3512.8653759,85.19350330547306,22.838761083,0.14033100823009326,0.0073686098925,0.014835642861015488
50000,Multi-Objective,18983.631690000002,3.9815815931999996,3981.5815931999996,82.51472303402058,23.3470654965,0.07405904728203383,0.00939082491,0.016350923248725432
100000,Random,38468.477025,8.245844029499999,8245.844029499998,77.59383013390075,47.78602180875001,0.5488472636094586,0.0135421828425,0.03027956370252098
100000,Energy-Only,37576.11852,7.2247398081,7224.7398081,85.55334541425381,45.7294553595,0.07334566442898245,0.016943700487499998,0.03101083772793576
100000,UHI-Aware,37571.901060000004,7.025730751799999,7025.7307518,85.19350330547306,45.677522166,0.14033100823009326,0.014737219785,0.029671285722030975
100000,Multi-Objective,37967.38041,7.963394832299999,7963.394832299999,82.5138424376134,46.69442195100001,0.07409227775816132,0.0187823223225,0.03270242652185637
